Protein,x
A0AVT1,hsa04120
A5YKK6,hsa03018
O00116,hsa01100 hsa04146 hsa00565
O00159,hsa05130
O00308,hsa04120
O00567,hsa03008
O14497,hsa04714 hsa05225
O14639,hsa04360
O14654,hsa04152 hsa04910 hsa04068 hsa04022 hsa04935 hsa04140 hsa04213 hsa04211 hsa04920 hsa04930 hsa04923
O14744,hsa03013
O14745,hsa05165 hsa04530 hsa05130 hsa04928
O14791,hsa05143
O14980,hsa03013 hsa05166 hsa03008 hsa05164
O15042,hsa03040
O15144,hsa04810 hsa05130 hsa05131 hsa04144 hsa04666 hsa05132 hsa05100
O15145,hsa04810 hsa05130 hsa05131 hsa04144 hsa04666 hsa05132 hsa05100
O15160,hsa04623 hsa03020
O15230,hsa04510 hsa05165 hsa05200 hsa04151 hsa05146 hsa04512 hsa05145 hsa05222
O15270,hsa01100 hsa04071 hsa00600
O43150,hsa04144 hsa04666
O43156,hsa04150
O43175,hsa01100 hsa01200 hsa01230 hsa00270 hsa00260
O43242,hsa05169 hsa03050
O43252,hsa01100 hsa00230 hsa00450 hsa00920
O43278,hsa05215 hsa05202
O43432,hsa03013 hsa05416
O43451,hsa01100 hsa04973 hsa00052 hsa00500
O43660,hsa03040
O43707,hsa04510 hsa04810 hsa04530 hsa05131 hsa05203 hsa05146 hsa05322 hsa04670 hsa04520
O43747,hsa05170 hsa04142
O43795,hsa05130
O60231,hsa03040
O60343,hsa04919 hsa04931
O60610,hsa04510 hsa04810 hsa05131 hsa04933
O60716,hsa04015 hsa04670 hsa04520
O60841,hsa03013
O75116,hsa04510 hsa04810 hsa05200 hsa04530 hsa05130 hsa05131 hsa05205 hsa04611 hsa05163 hsa05132 hsa04022 hsa04670 hsa05135 hsa04360 hsa04071 hsa04062 hsa04921 hsa04270 hsa04024 hsa04310
O75356,hsa01100 hsa00230 hsa00240
O75369,hsa04510 hsa05205 hsa04010 hsa05132
O75376,hsa04919 hsa01522 hsa05202
O75390,hsa01100 hsa01200 hsa01230 hsa00020 hsa00630 hsa01210
O75489,hsa01100 hsa05016 hsa04714 hsa05010 hsa00190 hsa04932 hsa05012 hsa04723
O75533,hsa03040
O75600,hsa01100 hsa00260
O75643,hsa03040
O75791,hsa04660
O75792,hsa03030
O75891,hsa00670
O76074,hsa01100 hsa04022 hsa00230
O94804,hsa04914
O94906,hsa03040
O94979,hsa04141
O95071,hsa04120
O95340,hsa01100 hsa00230 hsa00450 hsa00920
O95479,hsa01100 hsa01200 hsa00030
O95757,hsa04141
O96013,hsa04510 hsa04810 hsa05206 hsa05170 hsa04014 hsa04360 hsa04660 hsa04012 hsa05211
P00338,hsa01100 hsa04922 hsa04066 hsa00270 hsa05230 hsa00010 hsa00640 hsa00620
